127.0.0.1 - - [13/Jul/2023:09:19:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Jul/2023:09:19:39 +0900] "GET /springSample4/WEB-INF/views/hello.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2023:09:19:39 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Jul/2023:09:19:50 +0900] "GET /springSample4/WEB-INF/views/index.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2023:09:20:02 +0900] "GET /springSample4/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2023:09:20:04 +0900] "GET /springSample4/hello.do HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [13/Jul/2023:09:36:12 +0900] "GET /springSample4/hello.do HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [13/Jul/2023:09:36:23 +0900] "GET /springSample4/idcheck.do?id=asd HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [13/Jul/2023:09:40:08 +0900] "GET /springSample4/hello.do HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [13/Jul/2023:09:40:10 +0900] "GET /springSample4/idcheck.do?id=asd HTTP/1.1" 500 4207
0:0:0:0:0:0:0:1 - - [13/Jul/2023:09:40:21 +0900] "GET /springSample4/hello.do HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [13/Jul/2023:09:40:23 +0900] "GET /springSample4/idcheck.do?id=asd HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [13/Jul/2023:09:48:14 +0900] "GET /springSample4/hello.do HTTP/1.1" 200 1510
0:0:0:0:0:0:0:1 - - [13/Jul/2023:09:48:17 +0900] "GET /springSample4/idcheck.do?id=asd HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [13/Jul/2023:09:49:50 +0900] "GET /springSample4/hello.do HTTP/1.1" 200 1634
0:0:0:0:0:0:0:1 - - [13/Jul/2023:09:49:51 +0900] "GET /springSample4/idcheck.do?id%3A%20=asd HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [13/Jul/2023:09:55:12 +0900] "GET /springSample4/hello.do HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [13/Jul/2023:09:55:14 +0900] "GET /springSample4/idcheck.do?id%3A%20=asd HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [13/Jul/2023:10:20:38 +0900] "GET /springSample4/hello.do HTTP/1.1" 200 2297
0:0:0:0:0:0:0:1 - - [13/Jul/2023:10:22:32 +0900] "POST /springSample4/account.do HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [13/Jul/2023:10:23:06 +0900] "POST /springSample4/account.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [13/Jul/2023:10:32:10 +0900] "POST /springSample4/account.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [13/Jul/2023:10:32:42 +0900] "GET /springSample4/hello.do HTTP/1.1" 200 2277
0:0:0:0:0:0:0:1 - - [13/Jul/2023:10:32:52 +0900] "POST /springSample4/account.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [13/Jul/2023:10:42:26 +0900] "GET /springSample4/hello.do HTTP/1.1" 200 2650
0:0:0:0:0:0:0:1 - - [13/Jul/2023:10:42:27 +0900] "GET /springSample4/getlist.do HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [13/Jul/2023:10:42:43 +0900] "GET /springSample4/getlist.do HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [13/Jul/2023:10:43:32 +0900] "GET /springSample4/hello.do HTTP/1.1" 200 2661
0:0:0:0:0:0:0:1 - - [13/Jul/2023:10:43:33 +0900] "GET /springSample4/getlist.do HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [13/Jul/2023:10:49:14 +0900] "GET /springSample4/getlist.do HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [13/Jul/2023:10:49:20 +0900] "GET /springSample4/hello.do HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [13/Jul/2023:10:49:21 +0900] "GET /springSample4/getlist.do HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [13/Jul/2023:11:07:48 +0900] "GET /springSample4/hello.do HTTP/1.1" 200 3028
0:0:0:0:0:0:0:1 - - [13/Jul/2023:11:08:04 +0900] "GET /springSample4/hello.do HTTP/1.1" 200 3028
0:0:0:0:0:0:0:1 - - [13/Jul/2023:11:09:02 +0900] "GET /springSample4/hello.do HTTP/1.1" 200 3032
0:0:0:0:0:0:0:1 - - [13/Jul/2023:11:09:03 +0900] "GET /springSample4/getmap.do HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [13/Jul/2023:11:09:19 +0900] "GET /springSample4/getmap.do HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [13/Jul/2023:11:09:21 +0900] "GET /springSample4/hello.do HTTP/1.1" 200 3066
0:0:0:0:0:0:0:1 - - [13/Jul/2023:11:09:21 +0900] "GET /springSample4/getmap.do HTTP/1.1" 200 393
0:0:0:0:0:0:0:1 - - [13/Jul/2023:11:10:36 +0900] "GET /springSample4/getmap.do HTTP/1.1" 200 393
